"M_NICKNAME","M_PASSWORD","M_BIRTHYEAR","M_GENDER","M_JOINDATE"
"염소","rkskek123!",2002,1,22/09/27
"고양이","rkskek123!",1990,0,22/09/25
"강아지","rkskek123!",2022,0,22/09/27
"송아지","rkskek123!",1990,1,22/09/27
"기린","rkskek123!",1980,0,22/09/27
"원숭이","rkskek123!",1970,1,22/09/27
"치타","rkskek123!",1962,1,22/09/27
"고슴도치","rkskek123!",1985,0,22/09/27
"사슴","rkskek123!",1992,1,22/09/27
"호랑이","rkskek123!",1996,0,22/09/27
"다람쥐","rkskek123!",1972,0,22/09/27
"M_NICKNAME","P_ROWNUM","M_AGERANGE","M_GENDER"
"염소",3,2,1
"강아지",1,0,1
"강아지",2,0,0
"염소",4,2,1
"송아지",5,3,1
"송아지",4,3,1
"송아지",3,3,1
"송아지",2,3,1
"송아지",1,3,1
"기린",6,4,0
"기린",5,4,0
"기린",2,4,0
"원숭이",7,5,1
"원숭이",2,5,1
"원숭이",6,5,1
"치타",8,6,1
"치타",2,6,1
"치타",4,6,1
"치타",7,6,1
"고슴도치",9,3,0
"고슴도치",5,3,0
"고슴도치",2,3,0
"고슴도치",3,3,0
"사슴",10,3,1
"사슴",4,3,1
"사슴",8,3,1
"호랑이",11,2,0
"호랑이",6,2,0
"호랑이",10,2,0
"호랑이",3,2,0
"호랑이",7,2,0
"P_ROWNUM","P_TRIPDAY","P_TRIPDATE","P_SEQUENCE","S_SERIALNUM","P_SPOTNAME"
10,3,22/10/19,1,"E01","부산사직종합운동장 부산아시아드주경기장"
10,3,22/10/19,2,"E09","광안리해수욕장"
11,1,22/10/10,1,"R42","FM커피하우스 1호점"
11,1,22/10/10,2,"T32","전포역"
11,1,22/10/10,3,"E03","영화의전당 야외극장"
11,2,22/10/11,1,"R48","블랙업커피 해운대점"
11,2,22/10/11,2,"A26","한화리조트 해운대"
11,2,22/10/11,3,"R43","프랭클린 커피로스터스"
11,3,22/10/12,1,"R44","베르크로스터스"
11,3,22/10/12,2,"R33","코지하우스"
11,3,22/10/12,3,"T05","동래역"
"P_ROWNUM","M_NICKNAME","P_TITLE","P_FIRSTDATE","P_LASTDATE","T_NAMELIST","P_REGDATE","P_LIKE","P_PUBLIC"
2,"강아지","강아지플랜2",22/10/06,22/10/07,"#강 #풍경 #커플 #인스타 #산 #동물 #사진 #태그 #냠냠 ",22/09/27,6,1
1,"강아지","강아지플랜1",22/10/05,22/10/07,"#사진 #바다 #인스타 #산 #커플 #풍경 ",22/09/27,2,1
3,"염소","염소플랜1",22/10/07,22/10/08,"#동물 #사진 #드라이브 #바다 #인스타 #산 #부산여행너무재밌어요 ",22/09/27,4,1
4,"염소","염소플랜2",22/10/05,22/10/06,"#동물 #사진 #맛집 #산 #커플 #풍경 #강 #인스타 ",22/09/27,4,1
5,"송아지","송아지플랜1",22/10/11,22/10/13,"#바다 #사진 #맛집 #송아지가떠나는여행 #커플 ",22/09/27,3,1
6,"기린","기린플랜1",22/10/18,22/10/22,"#인스타 #동물 #사진 #산 #물 #목길이 ",22/09/27,3,1
7,"원숭이","원숭이플랜1",22/10/30,22/11/01,"#사진 #바다 #인스타 ",22/09/27,3,1
8,"치타","치타플랜1",22/10/03,22/10/05,"#맛집 #인스타 #산 #커플 #강 #풍경 #바다 #치타는빨라빠르면비행 ",22/09/27,2,1
9,"고슴도치","고슴도치플랜1",22/10/26,22/10/27,"#동물 #사진 #산 #인스타 #커플 #풍경 #고슴도치는따가워 ",22/09/27,1,1
10,"사슴","사슴플랜1",22/10/17,22/10/19,"#맛집 #사진 #산 #인스타 #커플 #풍경 #강 #동물 ",22/09/27,2,1
11,"호랑이","호랑이플랜1",22/10/10,22/10/12,"#사진 #바다 #인스타 #풍경 #강 #동물 #커플 #맛집 #드라이브 ",22/09/27,1,1
